sample_id,split,source_type,resist_threshold,focus_nm,exposure_dose
000001,train,Annular,0.09231251,0,1
000002,train,Annular,0.09231251,0,1
000003,train,Annular,0.09231251,0,1
000004,train,Annular,0.09231251,0,1
000005,train,Annular,0.09231251,0,1
000006,train,Annular,0.09231251,0,1
000007,train,Annular,0.09231251,0,1
000008,train,Annular,0.09231251,0,1
000009,train,Annular,0.09231251,0,1
000010,train,Annular,0.09231251,0,1
000011,train,Annular,0.09231251,0,1
000012,train,Annular,0.09231251,0,1
000013,train,Annular,0.09231251,0,1
000014,train,Annular,0.09231251,0,1
000015,train,Annular,0.09231251,0,1
000016,train,Annular,0.09231251,0,1
000017,train,Annular,0.09231251,0,1
000018,train,Annular,0.09231251,0,1
000019,train,Annular,0.09231251,0,1
000020,train,Annular,0.09231251,0,1
000021,train,Annular,0.09231251,0,1
000022,train,Annular,0.09231251,0,1
000023,train,Annular,0.09231251,0,1
000024,train,Annular,0.09231251,0,1
000025,train,Annular,0.09231251,0,1
000026,train,Annular,0.09231251,0,1
000027,train,Annular,0.09231251,0,1
000028,train,Annular,0.09231251,0,1
000029,train,Annular,0.09231251,0,1
000030,train,Annular,0.09231251,0,1
000031,train,Annular,0.09231251,0,1
000032,train,Annular,0.09231251,0,1
000033,train,Annular,0.09231251,0,1
000034,train,Annular,0.09231251,0,1
000035,train,Annular,0.09231251,0,1
000036,train,Annular,0.09231251,0,1
000037,train,Annular,0.09231251,0,1
000038,train,Annular,0.09231251,0,1
000039,train,Annular,0.09231251,0,1
000040,train,Annular,0.09231251,0,1
000041,train,Annular,0.09231251,0,1
000042,train,Annular,0.09231251,0,1
000043,train,Annular,0.09231251,0,1
000044,train,Annular,0.09231251,0,1
000045,train,Annular,0.09231251,0,1
000046,train,Annular,0.09231251,0,1
000047,train,Annular,0.09231251,0,1
000048,train,Annular,0.09231251,0,1
000049,train,Annular,0.09231251,0,1
000050,train,Annular,0.09231251,0,1
000051,train,Annular,0.1236402,0,1
000052,train,Annular,0.1236402,0,1
000053,train,Annular,0.1236402,0,1
000054,train,Annular,0.1236402,0,1
000055,train,Annular,0.1236402,0,1
000056,train,Annular,0.1236402,0,1
000057,train,Annular,0.1236402,0,1
000058,train,Annular,0.1236402,0,1
000059,train,Annular,0.1236402,0,1
000060,train,Annular,0.1236402,0,1
000061,train,Annular,0.1236402,0,1
000062,train,Annular,0.1236402,0,1
000063,train,Annular,0.1236402,0,1
000064,train,Annular,0.1236402,0,1
000065,train,Annular,0.1236402,0,1
000066,train,Annular,0.1236402,0,1
000067,train,Annular,0.1236402,0,1
000068,train,Annular,0.1236402,0,1
000069,train,Annular,0.1236402,0,1
000070,train,Annular,0.1236402,0,1
000071,train,Annular,0.1236402,0,1
000072,train,Annular,0.1236402,0,1
000073,train,Annular,0.1236402,0,1
000074,train,Annular,0.1236402,0,1
000075,train,Annular,0.1236402,0,1
000076,train,Annular,0.1236402,0,1
000077,train,Annular,0.1236402,0,1
000078,train,Annular,0.1236402,0,1
000079,train,Annular,0.1236402,0,1
000080,train,Annular,0.1236402,0,1
000081,train,Annular,0.1236402,0,1
000082,train,Annular,0.1236402,0,1
000083,train,Annular,0.1236402,0,1
000084,train,Annular,0.1236402,0,1
000085,train,Annular,0.1236402,0,1
000086,train,Annular,0.1236402,0,1
000087,train,Annular,0.1236402,0,1
000088,train,Annular,0.1236402,0,1
000089,train,Annular,0.1236402,0,1
000090,train,Annular,0.1236402,0,1
000091,train,Annular,0.1236402,0,1
000092,train,Annular,0.1236402,0,1
000093,train,Annular,0.1236402,0,1
000094,train,Annular,0.1236402,0,1
000095,train,Annular,0.1236402,0,1
000096,train,Annular,0.1236402,0,1
000097,train,Annular,0.1236402,0,1
000098,train,Annular,0.1236402,0,1
000099,train,Annular,0.1236402,0,1
000100,train,Annular,0.1236402,0,1
